"","Name","appid","Owners_Before","Owners_After","Sales","Increase","Price_Before_Sale","Review_Score_Steam_Users","Sale_Percent","Price_After_Sale","Owners_As_Of_Today","Players_Forever_As_Of_Today","average_forever.x","median_forever.x","owners","owners_variance","players_forever","players_forever_variance","players_2weeks","players_2weeks_variance","average_forever.y","average_2weeks","median_forever.y","median_2weeks","Price_Now","publisher","score","Review_Score_Metacritic_User","Review_Score_IGN","Genre","Release_Date","Review_Score_Metacritic","main_story_length","GameAge"
"120","Ben and Ed",395200,50608,69253,18645,36.84,9.99,77,50,4.99,63184,58884,217,114,63418,6513,57637,6209,4730,1779,224,33,123,13,9.99,"",NA,NA,NA,NA,2015-12-08,NA,NA,209
"121","Bermuda",337630,70901,77264,6363,8.97,2.99,64,0,2.99,76643,29162,159,128,75506,7107,24877,4079,514,711,194,223,122,223,2.99,"",NA,NA,NA,NA,2015-03-17,NA,1,475
"122","Besiege",346010,1570610,1587917,17307,1.1,7.99,96,30,5.59,1640716,1541454,692,222,1610155,32744,1503466,31646,77784,7213,617,117,228,30,7.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","BioShock Infinite",8870,4236565,4438158,201593,4.76,29.99,95,75,7.49,4457430,3365925,897,645,4408438,53949,3309832,46825,65696,6629,869,231,635,87,29.99,"2K Games",94,85,94,"Shooter",2013-03-26,85,11.5,1196
"124","BioShock Infinite",8870,4236565,4438158,201593,4.76,29.99,95,75,7.49,4457430,3365925,897,645,4408438,53949,3309832,46825,65696,6629,869,231,635,87,29.99,"2K Games",94,85,95,"Shooter",2013-03-26,85,11.5,1196
"125","Bit Blaster XL",433950,57873,73387,15514,26.81,0.99,98,51,0.49,102066,75334,129,53,96529,8035,71827,6932,5956,1996,117,30,43,14,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","bit Dungeon",NA,2004,11628,9624,480.24,3.99,26,94,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","BitRay",462030,51109,65635,14526,28.42,0.99,63,25,0.74,68792,4299,48,26,73229,6999,5606,1936,527,1031,30,2,11,2,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","BITTRIP FATE",NA,44094,50131,6037,13.69,9.99,64,90,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","BITTRIP Presents Runner2 Future Legend of Rhythm Alien",NA,448209,461516,13307,2.97,14.99,92,80,2.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Black Mesa",362890,216212,290192,73980,34.22,19.99,93,60,7.99,274045,222264,607,369,276447,13595,233000,12482,13139,2965,566,211,343,63,19.99,"",86,90,NA,NA,2012-09-14,90,12,1389
"131","Black Mirror",292930,95955,109048,13093,13.64,9.99,75,90,0.99,108048,22619,401,57,105814,8413,21198,3766,525,726,496,115,56,115,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Black Mirror II",286460,38833,44704,5871,15.12,9.99,88,75,2.49,48603,8786,854,728,43272,5380,9986,2584,502,983,884,1461,887,1461,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Black Mirror III",286480,40085,45221,5136,12.81,9.99,86,75,2.49,51033,8038,922,906,44673,5467,8409,2372,514,711,668,14,538,14,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Blackguards",249650,459984,469527,9543,2.07,159.99,63,90,3.99,466773,209739,770,189,471256,17745,212503,11920,4380,1711,769,221,186,167,39.99,"",68,72,78,"RPG",2013-11-06,72,45.5,971
"135","Blackwell Deception",80360,79670,88892,9222,11.58,9.99,96,70,2.99,91410,35704,248,195,90923,7799,36614,4949,1506,1702,278,201,234,257,4.74,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","BlazBlue Calamity Trigger",NA,160593,170549,9956,6.2,9.99,87,75,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,87,94,"Fighting",2010-09-02,87,13.5,2132
"137","BlazBlue Chronophantasma Extend",NA,31066,39536,8470,27.26,29.99,95,33,20.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","BlazBlue Continuum Shift Extend",NA,56621,63309,6688,11.81,19.99,93,66,6.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,73,NA,NA,2014-12-10,73,8.5,572
"139","Blockhood",NA,13278,19122,5844,44.01,9.99,81,20,7.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Blocks That Matter",111800,263062,275721,12659,4.81,4.99,79,50,2.49,276662,189364,158,64,276447,13595,184999,11123,526,593,175,81,64,81,4.99,"",72,73,85,"Platformer",2011-08-19,73,5.5,1781
"141","Blood and Bacon",434570,60128,89667,29539,49.13,0.99,96,10,0.89,204692,176465,166,101,172911,10753,147333,9927,20847,3734,224,127,101,55,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","BloodGate",464470,0,8527,8527,0,8.99,87,90,0.89,9721,6169,478,131,9986,2584,5956,1996,1927,1135,1035,250,507,331,8.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","BloodRayne",3810,51359,64343,12984,25.28,9.99,NA,90,0.99,64492,38134,204,175,59739,6322,30132,4490,1051,838,226,219,182,254,9.99,"Majesco Games, Majesco",65,78,75,"Action",2002-10-14,78,7,5012
"144","BloodRayne",3810,51359,64343,12984,25.28,9.99,NA,90,0.99,64492,38134,204,175,59739,6322,30132,4490,1051,838,226,219,182,254,9.99,"Majesco Games, Majesco",65,78,73,"Action",2003-10-14,78,7,4647
"145","BloodRayne",3810,51359,64343,12984,25.28,9.99,NA,90,0.99,64492,38134,204,175,59739,6322,30132,4490,1051,838,226,219,182,254,9.99,"Majesco Games, Majesco",65,78,78,"Adventure",2002-10-14,78,7,5012
"146","BloodRayne",3810,51359,64343,12984,25.28,9.99,NA,90,0.99,64492,38134,204,175,59739,6322,30132,4490,1051,838,226,219,182,254,9.99,"Majesco Games, Majesco",65,78,78,"Action",2002-10-14,78,7,5012
"147","BloodRayne 2",3820,60128,66927,6799,11.31,9.99,NA,90,0.99,67670,35144,218,179,70776,6881,33111,4706,876,765,298,349,185,456,9.99,"Majesco Games, Majesco",67,77,68,"Action",2005-08-02,77,9,3989
"148","BloodRayne 2",3820,60128,66927,6799,11.31,9.99,NA,90,0.99,67670,35144,218,179,70776,6881,33111,4706,876,765,298,349,185,456,9.99,"Majesco Games, Majesco",67,77,80,"Action",2004-10-13,77,9,4282
"149","Bloody Good Time",2450,113242,124294,11052,9.76,4.99,77,50,2.49,109356,83185,523,90,125260,9153,97930,8093,876,765,400,94,98,104,4.99,"",73,79,NA,NA,2010-10-29,79,NA,2075
"150","Bloody Trapland",257750,193163,212411,19248,9.96,9.99,85,80,1.99,231611,206375,208,125,226694,12312,203043,11652,5956,1996,209,46,129,35,9.99,"",NA,66,NA,NA,2013-11-18,66,7.5,959
"151","Bloons TD5",306020,98961,109306,10345,10.45,9.99,92,50,4.99,129358,125245,1718,876,118252,8893,115274,8781,14716,3137,2082,525,905,62,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Bookworm Adventures Deluxe",3470,35325,40828,5503,15.58,4.99,NA,NA,0,44490,23741,1253,315,38717,5089,22950,3918,527,1031,845,99,276,99,0,"",82,79,NA,NA,2006-12-20,79,NA,3484
"153","Borderlands",8980,2849096,2918718,69622,2.44,19.99,94,75,4.99,3016359,2513508,1853,779,2912855,43954,2459643,40418,42045,5303,1807,308,794,100,19.99,"2K Games",81,78,88,"Action, RPG",2009-10-26,78,22.5,2443
"154","Borderlands",8980,2849096,2918718,69622,2.44,19.99,94,75,4.99,3016359,2513508,1853,779,2912855,43954,2459643,40418,42045,5303,1807,308,794,100,19.99,"2K Games",81,78,88,"Action, RPG",2009-10-19,78,22.5,2450
"155","Borderlands 2",49520,6307246,6363556,56310,0.89,19.99,96,75,4.99,6595202,5930279,3628,1439,6422752,64917,5772804,61606,275571,13573,3675,398,1469,111,29.99,"2K Games",89,82,90,"Shooter, RPG",2012-09-18,82,31,1385
"156","Borderlands The PreSequel",NA,1350640,1379640,29000,2.15,39.99,80,60,15.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",75,61,80,"Shooter, RPG",2014-10-13,61,17.5,630
"157","Boson X",302610,77666,86049,8383,10.79,2.99,92,0,2.99,83559,67109,228,151,81813,7398,65871,6638,2978,1411,596,528,155,149,2.99,"",NA,76,NA,NA,2014-09-15,76,NA,658
"158","Bound By Flame",243930,188403,202850,14447,7.67,29.99,66,80,5.99,201327,129171,545,293,183948,11091,115799,8801,2102,1186,575,171,262,213,29.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Braid",26800,1144699,1172397,27698,2.42,14.99,94,83,2.54,1171325,761754,239,104,1182696,28081,761894,22553,5080,1843,223,54,103,29,14.99,"MumboJumbo",90,86,88,"Platformer",2010-01-26,86,5,2351
"160","Braid",26800,1144699,1172397,27698,2.42,14.99,94,83,2.54,1171325,761754,239,104,1182696,28081,761894,22553,5080,1843,223,54,103,29,14.99,"MumboJumbo",90,86,85,"Platformer",2009-11-13,86,5,2425
"161","Bridge Constructor",250460,240765,246779,6014,2.5,9.99,77,55,4.49,242453,135714,227,94,252972,13005,142428,9760,2803,1369,196,14,91,14,9.99,"",NA,78,NA,NA,2012-02-22,78,5,1594
"162","Bridge Constructor Stunts",419080,22297,27391,5094,22.85,9.99,80,55,4.49,25984,4113,47,23,26979,4248,3329,1492,0,0,47,0,19,0,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Brink of Consciousness Dorian Gray Syndrome",NA,24552,31784,7232,29.46,9.99,87,50,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Broforce",274190,642124,701577,59453,9.26,14.99,97,60,5.99,810544,748295,685,342,817253,23356,744550,22295,59739,6322,639,146,331,55,6.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Broken Dreams",444480,41338,64085,22747,55.03,1.99,68,50,0.99,87485,62062,210,212,78660,7254,52206,5910,2628,1326,210,136,212,137,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Broken Sword 2 the Smoking Mirror Remastered",NA,262060,267710,5650,2.16,5.99,89,60,2.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Broken Sword 5 the Serpents Curse",NA,128274,138765,10491,8.18,24.99,87,75,6.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Brothers A Tale of Two Sons",NA,1114885,1161802,46917,4.21,14.99,95,90,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"505 Games",90,86,82,"Adventure",2013-09-03,86,3,1035
"169","Brothers in Arms Road to Hill 30",NA,85182,90184,5002,5.87,9.99,NA,50,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ubisoft",87,71,91,"Shooter",2005-03-15,71,8,4129
"170","Brothers in Arms Road to Hill 30",NA,85182,90184,5002,5.87,9.99,NA,50,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ubisoft",87,71,86,"Shooter",2005-03-15,71,8,4129
"171","Brothers in Arms Road to Hill 30",NA,85182,90184,5002,5.87,9.99,NA,50,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ubisoft",87,71,93,"Shooter",2005-03-15,71,8,4129
"172","Brutal Legend",225260,1095093,1123816,28723,2.62,14.99,93,90,1.49,1126835,670717,352,190,1143103,27609,668343,21126,6307,2054,363,120,192,64,14.99,"Double Fine Productions",80,78,NA,NA,2013-02-26,78,9,1224
"173","Bulb Boy",390290,28310,33334,5024,17.75,8.99,91,50,4.49,35330,11403,150,138,38016,5043,12088,2844,771,871,117,93,107,130,8.99,"",NA,64,NA,NA,2015-10-29,64,NA,249
"174","Bulletstorm",99810,347744,359962,12218,3.51,19.99,78,75,4.99,361716,273671,380,244,361238,15539,279776,13676,1927,1135,390,118,222,163,19.99,"Electronic Arts",82,76,80,"Action",2011-02-22,76,7.5,1959
"175","Bully Scholarship Edition",NA,734321,780650,46329,6.31,14.99,87,80,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rockstar Games",72,75,87,"Action",2008-10-21,75,13.5,2813
"176","Bully Scholarship Edition",NA,734321,780650,46329,6.31,14.99,87,80,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rockstar Games",72,75,80,"Action",2008-10-21,75,13.5,2813
"177","Bully Scholarship Edition",NA,734321,780650,46329,6.31,14.99,87,80,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rockstar Games",72,75,78,"Action",2008-10-28,75,13.5,2806
"178","Bunch Of Heroes",111400,173872,180885,7013,4.03,4.99,46,0,4.99,169175,115151,77,42,172736,10748,121931,9031,0,0,105,0,42,0,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Bus Driver",302080,226735,247554,20819,9.18,9.99,67,75,2.49,254603,113656,79,14,262958,13259,111770,8646,2978,1411,90,38,14,4,7.99,"Meridian4",61,72,NA,NA,2008-05-30,72,NA,2957
"180","BusSimulator 2012",NA,24803,29975,5172,20.85,9.99,34,80,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","CalcuLate",NA,11775,35401,23626,200.65,0.99,50,51,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Call of Cthulhu Dark Corners of the Earth",NA,177379,184761,7382,4.16,4.99,71,50,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2K Games",76,75,78,"Adventure",2006-04-26,75,10,3722
"183","Call of Cthulhu Dark Corners of the Earth",NA,177379,184761,7382,4.16,4.99,71,50,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2K Games",76,75,82,"Adventure",2005-11-04,75,10,3895
"184","Call of Duty",2620,195668,206984,11316,5.78,19.99,92,50,9.99,206748,143004,414,174,199539,11551,136822,9566,4029,1642,467,111,165,85,14.99,"Activision",91,85,93,"Shooter",2003-10-27,85,7.5,4634
"185","Call of Duty 2",2630,277844,299236,21392,7.7,19.99,90,50,9.99,298720,218151,714,300,285031,13804,207073,11767,12438,2884,738,186,303,53,9.99,"Activision",86,83,85,"Shooter",2005-10-25,83,9,3905
"186","Call of Duty 2",2630,277844,299236,21392,7.7,19.99,90,50,9.99,298720,218151,714,300,285031,13804,207073,11767,12438,2884,738,186,303,53,9.99,"Activision",86,83,90,"Shooter",2005-11-15,83,9,3884
"187","Call of Duty 4 Modern Warfare",NA,957549,989961,32412,3.38,19.99,91,50,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Activision",92,85,94,"Shooter",2007-11-05,85,7,3164
"188","Call of Duty Black Ops II",NA,2787965,2836545,48580,1.74,99.99,85,67,19.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Activision",74,40,93,"Shooter",2012-11-13,40,7,1329
"189","Call of Duty Black Ops II",NA,2787965,2836545,48580,1.74,99.99,85,67,19.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Activision",74,40,93,"Shooter",2012-11-21,40,7,1321
"190","Call of Duty Black Ops II Multiplayer",NA,2787965,2836545,48580,1.74,99.99,NA,67,19.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Call of Duty Black Ops III",NA,1091084,1128984,37900,3.47,59.99,53,50,29.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",73,27,92,"Shooter",2015-11-06,27,8.5,241
"192","Call of Duty Black Ops III",NA,1091084,1128984,37900,3.47,59.99,53,50,29.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",73,27,70,"Shooter",2015-11-12,27,8.5,235
"193","Call of Duty Black Ops III Awakening DLC Pack",NA,217465,226107,8642,3.97,14.99,NA,0,14.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Call of Duty Ghosts",NA,1370933,1385583,14650,1.07,59.99,56,67,19.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",68,20,88,"Shooter",2013-11-05,20,6,972
"195","Call of Duty Ghosts Multiplayer",NA,1370933,1385583,14650,1.07,59.99,NA,67,19.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Call of Duty Modern Warfare 2",NA,4840858,4884429,43571,0.9,19.99,90,50,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Activision",86,41,95,"Shooter",2009-11-10,41,6.5,2428
"197","Call of Duty Modern Warfare 2 Multiplayer",NA,4840858,4884429,43571,0.9,19.99,90,50,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Call of Duty Modern Warfare 3",NA,3225151,3268603,43452,1.35,39.99,NA,50,19.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Activision",78,25,45,"Shooter",2011-11-14,25,6,1694
"199","Call of Duty Modern Warfare 3",NA,3225151,3268603,43452,1.35,39.99,NA,50,19.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Activision",78,25,90,"Shooter",2011-11-09,25,6,1699
"200","Call of Duty Modern Warfare 3",NA,3225151,3268603,43452,1.35,39.99,NA,50,19.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Activision",78,25,90,"Shooter",2011-11-08,25,6,1700
"201","Call of Duty Modern Warfare 3 Multiplayer",NA,3225151,3268603,43452,1.35,39.99,NA,50,19.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Call of Duty United Offensive",NA,166857,174683,7826,4.69,19.99,86,50,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Activision",87,82,84,"Action",2004-09-14,82,5,4311
"203","Call of Duty World at War",NA,1302036,1381191,79155,6.08,19.99,93,50,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Activision Blizzard",83,74,92,"Shooter",2008-11-11,74,8,2792
"204","Call of Duty World at War",NA,1302036,1381191,79155,6.08,19.99,93,50,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Activision Blizzard",83,74,80,"Shooter",2008-11-11,74,8,2792
"205","Call of Juarez Bound in Blood",NA,206942,215770,8828,4.27,9.99,84,50,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ubisoft",78,80,75,"Shooter",2009-06-30,80,8,2561
"206","Call of Juarez Bound in Blood",NA,206942,215770,8828,4.27,9.99,84,50,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ubisoft",78,80,77,"Shooter",2009-06-30,80,8,2561
"207","Call to Arms",302670,60128,67444,7316,12.17,24.99,71,75,6.24,76830,71596,1080,302,74280,7049,67447,6717,9285,2492,552,142,277,58,22.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Camera Obscura",341500,302647,312156,9509,3.14,1.99,72,75,0.49,341341,190672,192,164,337938,15030,189028,11243,2277,1234,171,193,153,315,0.99,"",NA,NA,NA,NA,2015-02-19,NA,5,501
"209","Capsized",95300,499819,507255,7436,1.49,9.99,78,80,1.99,514628,219273,73,21,518207,18606,220562,12144,0,0,67,0,20,0,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Car Mechanic Simulator 2015",320300,233750,265643,31893,13.64,19.99,92,60,7.99,271614,258155,1340,482,275396,13569,261906,13233,26453,4207,1320,346,490,107,19.99,"",68,86,NA,NA,2015-04-23,86,NA,438
"211","Caribbean Odyssey",414500,0,12145,12145,0,2.99,NA,50,1.49,13085,748,1,2,14190,3081,0,0,0,0,0,0,0,0,9.99,"",NA,NA,NA,NA,2015-11-12,NA,NA,235
"212","Carmageddon Reincarnation",NA,97709,104138,6429,6.58,29.99,76,0,29.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",54,42,NA,NA,2015-05-21,42,18.5,410
"213","Carmageddon TDR 2000",331650,57873,63051,5178,8.95,4.99,66,90,0.49,63744,19441,92,15,66572,6673,21548,3797,771,871,62,17,17,30,3.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Carrier Command Gaea Mission",NA,215210,224039,8829,4.1,32.99,44,80,6.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"_No Company, Rising Star Games",60,56,NA,NA,2012-10-02,56,NA,1371
"215","Castle Crashers",204360,2902711,2994949,92238,3.18,14.99,96,80,2.99,3041595,2653148,538,249,3045648,44935,2672672,42118,63944,6540,539,145,242,40,11.99,"The Behemoth",NA,78,85,"Action",2012-09-26,78,6.5,1377
"216","Castle Crashers",204360,2902711,2994949,92238,3.18,14.99,96,80,2.99,3041595,2653148,538,249,3045648,44935,2672672,42118,63944,6540,539,145,242,40,11.99,"The Behemoth",NA,78,90,"Action",2012-09-26,78,6.5,1377
"217","Castle In The Darkness",262960,37329,42637,5308,14.22,9.99,81,70,2.99,45051,37013,465,162,46600,5583,38892,5101,1614,1289,369,19,161,18,9.99,"",76,75,NA,NA,2015-02-05,75,NA,515
"218","Castle of Illusion",227600,66392,71837,5445,8.2,14.99,NA,75,3.74,132723,82438,217,77,133844,9461,70601,6872,13489,3004,181,51,68,29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Castlevania Lords of Shadow 2",NA,152576,167706,15130,9.92,39.99,83,75,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",58,77,65,"Action",2014-02-25,77,15.5,860
"220","Castlevania Lords of Shadow Mirror of Fate HD",NA,65891,78556,12665,19.22,14.99,81,75,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,69,NA,NA,2014-03-27,69,8,830
"221","Castlevania Lords of Shadow Ultimate Edition",NA,325696,331279,5583,1.71,29.99,80,75,7.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Konami",81,73,NA,NA,2013-08-27,73,18.5,1042
"222","Cat on a Diet",447890,3256,9819,6563,201.57,4.99,88,75,1.24,21310,14768,210,198,10161,2607,6307,2054,550,1076,175,2,196,2,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Catch a Falling Star",451880,14781,44446,29665,200.7,0.99,87,51,0.49,65240,36265,259,212,57812,6219,34862,4829,2453,1281,218,81,208,116,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Catlateral Damage",329860,22798,33334,10536,46.21,9.99,90,50,4.99,37574,31592,238,56,32585,4669,26804,4234,1577,1027,169,16,62,20,9.99,"",NA,NA,NA,NA,2015-05-27,NA,NA,404
"225","Caveman World Mountains of Unga Boonga",NA,22047,33851,11804,53.54,1.99,71,83,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Chains",11360,138295,147809,9514,6.88,4.99,75,80,0.99,142256,46733,71,19,144355,9826,49053,5728,0,0,70,0,18,0,4.99,"",NA,64,NA,NA,2008-01-01,64,2,3107
"227","Chantelise",70420,172869,183986,11117,6.43,9.99,76,75,2.49,175904,85055,173,35,175714,10840,90397,7776,514,711,131,14,35,14,7.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Chaos on Deponia",220740,293878,311898,18020,6.13,19.99,91,85,2.99,328255,142256,504,322,308857,14369,135421,9517,1577,1027,498,252,398,395,19.99,"",78,85,NA,NA,2012-11-06,85,10,1336
"229","Check vs Mate",NA,6764,13178,6414,94.83,19.99,56,0,19.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TopWare Interactive",69,59,NA,NA,2012-08-03,59,NA,1431
"230","Chernobyl Commando",302240,38081,43929,5848,15.36,9.99,22,90,0.99,44864,11777,74,16,47476,5636,9460,2515,1004,1390,70,4,20,7,9.99,"",NA,15,NA,NA,2014-06-06,15,3,759
"231","Chicken Shoot Gold",259340,73657,84757,11100,15.07,6.99,57,0,6.99,80194,11403,14,5,80061,7318,12789,2925,0,0,8,0,5,0,6.99,"",NA,NA,NA,NA,2003-11-01,NA,NA,4629
"232","Child of Light",256290,586505,598731,12226,2.08,14.99,92,75,3.74,623797,429573,501,199,604925,20101,414671,16647,6482,2082,482,130,186,103,14.99,"",77,82,93,"RPG",2014-04-30,82,11,796
"233","Chivalry Medieval Warfare",NA,3688893,3746399,57506,1.56,24.99,84,85,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",79,78,79,"Adventure",2012-10-29,78,53,1344
"234","CHKN",420930,6764,11886,5122,75.72,14.99,87,20,11.99,8599,8599,249,161,12438,2884,11562,2781,1577,1027,270,60,182,76,14.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Chroma Squad",251130,105976,111632,5656,5.34,14.99,95,50,7.49,117207,84120,358,205,117026,8847,83565,7476,5431,1906,481,281,251,206,14.99,"",75,79,NA,NA,2015-04-30,79,18,431
"236","Chronicles of a Dark Lord Episode 1 Tides of Fate Complete",NA,23550,30233,6683,28.38,1.99,67,75,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Cities Skylines",NA,2358296,2431102,72806,3.09,29.99,93,60,11.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",86,89,85,"Simulation",2015-03-10,89,26.5,482
"238","City of Chains",412170,15282,78556,63274,414.04,8.99,88,90,0.89,87485,49911,237,244,72002,6940,39593,5146,1752,1082,263,90,247,119,8.99,"",NA,NA,NA,NA,2015-12-08,NA,NA,209
