"#","Game","Owners before","Owners after","Sales","Increase","Price","Max discount","Userscore (Metascore)"
"1315","Assassinâ€™s CreedÂ® Chronicles: India","9,269 ±2,980","14,987 ±3,849","5,718","61.69%","$9.99","33% ($6.69)","64% (N/A)"
"1134","Hare In The Hat","33,571 ±5,672","39,278 ±6,231","5,707","17%","$1.99","75% ($0.49)","68% (N/A)"
"1316","Putt-Putt: Pep's Birthday Surprise","8,768 ±2,899","14,470 ±3,782","5,702","65.03%","$6.99","60% ($2.79)","68% (N/A)"
"1136","Pixel Puzzles 2: Anime","33,070 ±5,630","38,761 ±6,190","5,691","17.21%","$9.99","75% ($2.49)","83% (N/A)"
"1377","Spooky Heroes","0 ±0","5,684 ±2,370","5,684","0%","$4.99","15% ($4.24)","N/A (N/A)"
"657","Nihilumbra","155,332 ±12,199","160,988 ±12,614","5,656","3.64%","$7.99","70% ($2.39)","91% (75%)"
"778","Chroma Squad","105,976 ±10,077","111,632 ±10,504","5,656","5.34%","$14.99","50% ($7.49)","95% (75%)"
"1046","Agarest: Generations of War 2","48,353 ±6,807","54,007 ±7,307","5,654","11.69%","$19.99","60% ($7.99)","67% (N/A)"
"512","Broken Sword 2 - the Smoking Mirror: Remastered","262,060 ±15,843","267,710 ±16,263","5,650","2.16%","$5.99","60% ($2.39)","89% (N/A)"
"1332","The Emptiness Deluxe Edition","7,015 ±2,593","12,661 ±3,538","5,646","80.48%","$9.99","50% ($4.99)","26% (N/A)"
"1195","Theatre Of The Absurd","23,299 ±4,725","28,941 ±5,349","5,642","24.22%","$4.99","85% ($0.74)","78% (N/A)"
"1334","Hidden Object 6-in-1 bundle","6,764 ±2,546","12,403 ±3,502","5,639","83.37%","$11.99","65% ($4.19)","81% (N/A)"
"360","Primal Carnage","467,249 ±21,148","472,886 ±21,608","5,637","1.21%","$7.99","90% ($0.79)","79% (67%)"
"1199","Lakeview Cabin Collection","22,798 ±4,674","28,424 ±5,301","5,626","24.68%","$9.99","75% ($2.49)","93% (70%)"
"485","Mountain","285,861 ±16,546","291,484 ±16,969","5,623","1.97%","$0.99","0% ($0.99)","86% (N/A)"
"514","Front Mission Evolved","261,058 ±15,812","266,677 ±16,232","5,619","2.15%","$9.99","50% ($4.99)","63% (63%)"
"965","Realms of Arkania: Blade of Destiny","63,636 ±7,809","69,253 ±8,274","5,617","8.83%","$14.99","80% ($2.99)","52% (N/A)"
"1012","The Escapists: The Walking Dead","55,368 ±7,284","60,984 ±7,764","5,616","10.14%","$17.99","66% ($6.11)","64% (66%)"
"1271","DungeonUp","14,030 ±3,667","19,639 ±4,406","5,609","39.98%","$4.99","90% ($0.49)","87% (N/A)"
"1210","Hammer Heads Deluxe","21,796 ±4,570","27,391 ±5,204","5,595","25.67%","$4.99","75% ($1.24)","94% (N/A)"
"970","Praetorians","62,884 ±7,763","68,478 ±8,228","5,594","8.9%","$4.99","85% ($0.74)","69% (78%)"
"232","DmC Devil May Cry","794,700 ±27,566","800,289 ±28,095","5,589","0.7%","$29.99","70% ($8.99)","95% (85%)"
"1280","Draw a Stickman: EPIC 2","13,278 ±3,567","18,863 ±4,318","5,585","42.06%","$4.99","0% ($4.99)","85% (N/A)"
"1281","Gnarltoof's Revenge","13,278 ±3,567","18,863 ±4,318","5,585","42.06%","$0.99","40% ($0.59)","27% (N/A)"
"454","Castlevania: Lords of Shadow - Ultimate Edition","325,696 ±17,660","331,279 ±18,089","5,583","1.71%","$29.99","75% ($7.49)","80% (N/A)"
"1285","Ghost Pirates of Vooju Island","13,027 ±3,533","18,605 ±4,289","5,578","42.82%","$9.99","50% ($4.99)","41% (66%)"
"1351","Gunman Clive 2","4,760 ±2,136","10,336 ±3,197","5,576","117.14%","$2.99","0% ($2.99)","97% (N/A)"
"839","Flight Control HD","86,936 ±9,127","92,510 ±9,563","5,574","6.41%","$4.99","75% ($1.24)","91% (N/A)"
"974","HotLead","62,132 ±7,716","67,702 ±8,181","5,570","8.96%","$0.99","51% ($0.49)","6% (N/A)"
"1115","Lilly and Sasha: Nexus of Souls","37,329 ±5,981","42,895 ±6,512","5,566","14.91%","$4.99","90% ($0.49)","61% (N/A)"
"1162","Supreme Ruler Cold War","28,561 ±5,232","34,109 ±5,807","5,548","19.43%","$9.99","75% ($2.49)","68% (63%)"
"1359","Solarix","3,758 ±1,898","9,302 ±3,032","5,544","147.53%","$19.99","66% ($6.79)","69% (N/A)"
"818","Deathtrap","93,951 ±9,488","99,487 ±9,917","5,536","5.89%","$19.99","66% ($6.79)","85% (77%)"
"1223","Sacra Terra: Angelic Night","19,792 ±4,355","25,323 ±5,003","5,531","27.95%","$2.99","60% ($1.19)","86% (N/A)"
"1124","Heavy Weapon Deluxe","35,826 ±5,860","41,345 ±6,393","5,519","15.41%","$4.99","75% ($1.24)","71% (N/A)"
"1368","Neon Drive","2,505 ±1,549","8,010 ±2,814","5,505","219.76%","$9.99","33% ($6.69)","90% (N/A)"
"1127","Bookworm Adventures Deluxe","35,325 ±5,818","40,828 ±6,353","5,503","15.58%","$4.99","% ($0)","N/A (82%)"
"1032","Ms. Splosion Man","51,359 ±7,016","56,849 ±7,497","5,490","10.69%","$9.99","80% ($1.99)","78% (N/A)"
"941","Snakebird","67,644 ±8,051","73,129 ±8,502","5,485","8.11%","$6.99","40% ($4.19)","96% (N/A)"
"1312","Putt-Putt and Pep's Balloon-o-Rama","10,021 ±3,099","15,504 ±3,915","5,483","54.72%","$4.99","60% ($1.99)","84% (N/A)"
"856","Primal Carnage: Extinction","83,929 ±8,968","89,409 ±9,401","5,480","6.53%","$19.99","70% ($5.99)","74% (N/A)"
"860","Ikaruga","83,428 ±8,941","88,892 ±9,374","5,464","6.55%","$9.99","50% ($4.99)","96% (84%)"
"1131","Westerado: Double Barreled","34,072 ±5,714","39,536 ±6,252","5,464","16.04%","$14.99","33% ($10.04)","94% (N/A)"
"364","Toki Tori","461,487 ±21,017","466,943 ±21,472","5,456","1.18%","$4.99","90% ($0.49)","88% (80%)"
"575","On the Rain-Slick Precipice of Darkness, Episode Two","206,441 ±14,063","211,894 ±14,470","5,453","2.64%","$7.99","0% ($7.99)","86% (N/A)"
"948","Castle of Illusion","66,392 ±7,976","71,837 ±8,427","5,445","8.2%","$14.99","75% ($3.74)","N/A (N/A)"
"1092","Lovers in a Dangerous Spacetime","41,338 ±6,294","46,771 ±6,800","5,433","13.14%","$14.99","40% ($8.99)","95% (80%)"
"1093","Plantera","41,338 ±6,294","46,771 ±6,800","5,433","13.14%","$2.99","40% ($1.79)","87% (N/A)"
"1329","Weird Park Trilogy","7,766 ±2,728","13,178 ±3,609","5,412","69.69%","$19.99","88% ($9.59)","100% (N/A)"
"1189","Pizza Frenzy","24,051 ±4,801","29,458 ±5,397","5,407","22.48%","$4.99","75% ($1.24)","87% (N/A)"
"579","Paradise Island - VR MMO","204,437 ±13,994","209,827 ±14,399","5,390","2.64%","$0.99","48% ($0.51)","56% (N/A)"
"1201","NOBUNAGA'S AMBITION: Sphere of Influence","23,049 ±4,700","28,424 ±5,301","5,375","23.32%","$59.99","50% ($29.99)","83% (70%)"
"1202","Amazing Adventures: The Lost Tomb","23,049 ±4,700","28,424 ±5,301","5,375","23.32%","$4.99","75% ($1.24)","78% (N/A)"
"834","Sniper Art of Victory","88,439 ±9,206","93,802 ±9,629","5,363","6.06%","$2.99","50% ($1.49)","32% (N/A)"
"1205","The Legend of Heroes: Trails in the Sky SC","22,548 ±4,649","27,908 ±5,253","5,360","23.77%","$29.99","35% ($19.49)","97% (80%)"
"661","Ys: The Oath in Felghana","153,829 ±12,140","159,179 ±12,543","5,350","3.48%","$14.99","70% ($4.49)","95% (73%)"
"1275","Impulse!","14,030 ±3,667","19,380 ±4,377","5,350","38.13%","$14.99","60% ($5.99)","N/A (N/A)"
"1058","Hektor","46,850 ±6,701","52,198 ±7,183","5,348","11.42%","$9.99","80% ($1.99)","66% (55%)"
"1212","Twilight Struggle","21,796 ±4,570","27,132 ±5,179","5,336","24.48%","$14.99","40% ($8.99)","83% (N/A)"
"764","Lego Star Wars 3: The Clone Wars","111,989 ±10,359","117,317 ±10,768","5,328","4.76%","$19.99","0% ($19.99)","85% (76%)"
"1214","Mystery P.I.: The New York Fortune","21,546 ±4,544","26,874 ±5,154","5,328","24.73%","$4.99","75% ($1.24)","55% (N/A)"
"1215","Venice","21,546 ±4,544","26,874 ±5,154","5,328","24.73%","$4.99","75% ($1.24)","81% (N/A)"
"1349","DreadOut: Keepers of The Dark","5,010 ±2,191","10,336 ±3,197","5,326","106.31%","$6.99","25% ($5.24)","87% (N/A)"
"1350","Vagrant Hearts","5,010 ±2,191","10,336 ±3,197","5,326","106.31%","$9.99","87% ($1.42)","57% (N/A)"
"1117","Castle In The Darkness","37,329 ±5,981","42,637 ±6,492","5,308","14.22%","$9.99","70% ($2.99)","81% (76%)"
"982","Nightmares from the Deep 3: Davy Jones","61,882 ±7,701","67,186 ±8,150","5,304","8.57%","$9.99","60% ($3.99)","96% (N/A)"
"1118","M.A.V.","37,079 ±5,961","42,378 ±6,473","5,299","14.29%","$19.99","50% ($9.99)","N/A (N/A)"
"595","Grand Ages: Rome","193,163 ±13,603","198,457 ±14,004","5,294","2.74%","$9.99","0% ($9.99)","74% (72%)"
"1360","Tennis in the Face","4,008 ±1,960","9,302 ±3,032","5,294","132.09%","$4.99","60% ($1.99)","90% (N/A)"
"1222","Freddi Fish 2: The Case of the Haunted Schoolhouse","20,293 ±4,410","25,582 ±5,029","5,289","26.06%","$6.99","60% ($2.79)","95% (N/A)"
"1224","Aozora Meikyuu","20,042 ±4,383","25,323 ±5,003","5,281","26.35%","$4.99","30% ($3.49)","80% (N/A)"
"1304","Risky Rescue","11,524 ±3,323","16,796 ±4,075","5,272","45.75%","$0.99","51% ($0.49)","85% (N/A)"
"495","The LEGO Movie - Videogame","274,086 ±16,202","279,339 ±16,612","5,253","1.92%","$19.99","75% ($4.99)","84% (N/A)"
"585","Wanderlust: Rebirth","199,927 ±13,839","205,175 ±14,239","5,248","2.62%","$7.99","50% ($3.99)","52% (N/A)"
"586","Contrast","199,927 ±13,839","205,175 ±14,239","5,248","2.62%","$9.99","75% ($3.74)","90% (62%)"
"850","Resident Evil 0 / biohazard 0 HD REMASTER","84,681 ±9,008","89,926 ±9,428","5,245","6.19%","$19.99","30% ($13.99)","89% (N/A)"
"896","Frederic: Resurrection of Music","76,413 ±8,557","81,656 ±8,984","5,243","6.86%","$2.99","83% ($0.5)","85% (N/A)"
"1310","Sea Legends: Phantasmal Light Collector's Edition","10,522 ±3,175","15,762 ±3,947","5,240","49.8%","$4.99","75% ($1.24)","77% (N/A)"
"791","Wizardry 8","100,966 ±9,836","106,205 ±10,246","5,239","5.19%","$9.99","75% ($2.49)","94% (85%)"
"1171","Trainz: Classic Cabon City","26,807 ±5,069","32,042 ±5,628","5,235","19.53%","$19.99","75% ($4.99)","32% (N/A)"
"1373","A-10 VR","1,503 ±1,200","6,718 ±2,577","5,215","346.97%","$4.99","50% ($2.49)","97% (N/A)"
"1248","Tcheco in the Castle of Lucio","17,788 ±4,129","22,998 ±4,768","5,210","29.29%","$0.99","33% ($0.66)","86% (N/A)"
"356","Red Faction II","478,273 ±21,395","483,481 ±21,848","5,208","1.09%","$9.99","75% ($2.49)","50% (64%)"
"497","Worms","272,583 ±16,157","277,788 ±16,566","5,205","1.91%","$7.99","85% ($1.19)","82% (N/A)"
"726","AquaNox 2: Revelation","124,516 ±10,923","129,720 ±11,323","5,204","4.18%","$4.99","75% ($1.24)","75% (59%)"
"483","Gothic","288,868 ±16,633","294,068 ±17,044","5,200","1.8%","$19.99","80% ($3.99)","81% (81%)"
"1320","Fairy Tale Mysteries: The Puppet Thief","8,768 ±2,899","13,954 ±3,714","5,186","59.15%","$9.99","50% ($4.99)","66% (N/A)"
"1138","Dracula 3: The Path of the Dragon","33,321 ±5,651","38,502 ±6,170","5,181","15.55%","$7.99","75% ($1.99)","25% (N/A)"
"119","The Elder Scrolls IV: Oblivion","1,587,647 ±38,913","1,592,827 ±39,587","5,180","0.33%","$14.99","40% ($8.99)","95% (94%)"
"1001","Carmageddon TDR 2000","57,873 ±7,447","63,051 ±7,895","5,178","8.95%","$4.99","90% ($0.49)","66% (N/A)"
"1321","The Guest","8,518 ±2,857","13,695 ±3,680","5,177","60.78%","$9.99","70% ($2.99)","82% (69%)"
"1185","Bus-Simulator 2012","24,803 ±4,875","29,975 ±5,444","5,172","20.85%","$9.99","80% ($1.99)","34% (N/A)"
"1330","Angry Video Game Nerd II: ASSimilation","7,766 ±2,728","12,920 ±3,574","5,154","66.37%","$14.99","20% ($11.99)","94% (N/A)"
"1142","Mountain Crime: Requital","32,319 ±5,565","37,469 ±6,086","5,150","15.93%","$2.99","60% ($1.19)","86% (N/A)"
"544","Mars: War Logs","229,240 ±14,818","234,376 ±15,218","5,136","2.24%","$14.99","75% ($3.74)","74% (59%)"
"1097","Black Mirror III","40,085 ±6,198","45,221 ±6,686","5,136","12.81%","$9.99","75% ($2.49)","86% (75%)"
"1336","Undead vs Plants","7,015 ±2,593","12,145 ±3,465","5,130","73.13%","$6.99","0% ($6.99)","N/A (N/A)"
"1337","Dear RED - Extended","7,015 ±2,593","12,145 ±3,465","5,130","73.13%","$2.99","25% ($2.24)","37% (N/A)"
"658","Ghost Master","154,831 ±12,179","159,954 ±12,573","5,123","3.31%","$4.99","90% ($0.49)","83% (81%)"
"1340","CHKN","6,764 ±2,546","11,886 ±3,428","5,122","75.72%","$14.99","20% ($11.99)","87% (N/A)"
"1208","Train Valley","22,297 ±4,623","27,391 ±5,204","5,094","22.85%","$9.99","50% ($4.99)","92% (69%)"
"1211","Bridge Constructor Stunts","22,297 ±4,623","27,391 ±5,204","5,094","22.85%","$9.99","55% ($4.49)","80% (N/A)"
"1347","Adventure Chronicles: The Search For Lost Treasure","5,762 ±2,350","10,853 ±3,275","5,091","88.35%","$4.99","85% ($0.74)","64% (N/A)"
"924","Roogoo","71,152 ±8,257","76,230 ±8,681","5,078","7.14%","$1.99","80% ($0.59)","78% (72%)"
"783","Ampersand","103,972 ±9,981","109,048 ±10,382","5,076","4.88%","$0.99","51% ($0.49)","35% (N/A)"
"1217","911: First Responders","21,546 ±4,544","26,616 ±5,130","5,070","23.53%","$4.99","75% ($1.24)","85% (N/A)"
"786","Runaway: The Dream of the Turtle","103,721 ±9,969","108,789 ±10,370","5,068","4.89%","$9.99","75% ($2.49)","60% (N/A)"
"976","Gomo","62,383 ±7,732","67,444 ±8,165","5,061","8.11%","$4.99","85% ($0.74)","72% (50%)"
"1292","Fermi's Path","13,027 ±3,533","18,088 ±4,229","5,061","38.85%","$8.99","30% ($6.29)","78% (N/A)"
"1293","Dungelot : Shattered Lands","13,027 ±3,533","18,088 ±4,229","5,061","38.85%","$9.99","75% ($2.49)","70% (78%)"
"1354","VRC PRO","4,760 ±2,136","9,819 ±3,116","5,059","106.28%","$44.99","0% ($44.99)","81% (N/A)"
"1067","Distant Worlds: Universe","45,848 ±6,629","50,906 ±7,094","5,058","11.03%","$59.99","50% ($29.99)","79% (81%)"
"1295","Putt-Putt Goes to the Moon","12,777 ±3,499","17,830 ±4,198","5,053","39.55%","$6.99","72% ($1.95)","92% (N/A)"
"1357","Tin Star","4,509 ±2,079","9,561 ±3,074","5,052","112.04%","$4.99","25% ($3.74)","96% (N/A)"
"886","Twin Sector","78,167 ±8,655","83,207 ±9,069","5,040","6.45%","$4.99","80% ($0.99)","40% (N/A)"
"1073","Pacific Storm","45,096 ±6,574","50,131 ±7,040","5,035","11.17%","$7.99","80% ($1.59)","65% (67%)"
"617","Gothic 3 Forsaken Gods Enhanced Edition","176,627 ±13,008","181,660 ±13,399","5,033","2.85%","$9.99","80% ($1.99)","52% (N/A)"
"1168","Bulb Boy","28,310 ±5,209","33,334 ±5,741","5,024","17.75%","$8.99","50% ($4.49)","91% (84%)"
"1228","Freddi Fish and Luther's Maze Madness","19,792 ±4,355","24,807 ±4,952","5,015","25.34%","$4.99","60% ($1.99)","89% (N/A)"
"1306","Everyday Genius: SquareLogic","11,524 ±3,323","16,538 ±4,043","5,014","43.51%","$4.99","0% ($4.99)","99% (N/A)"
"667","Trainz Simulator 12","151,323 ±12,041","156,336 ±12,430","5,013","3.31%","$29.99","80% ($5.99)","53% (N/A)"
"846","King Arthur - Fallen Champions","85,432 ±9,048","90,442 ±9,455","5,010","5.86%","$4.99","66% ($1.69)","35% (54%)"
"890","Dream","77,165 ±8,599","82,173 ±9,013","5,008","6.49%","$16.99","75% ($4.24)","62% (59%)"
"933","Age of Wonders 2","68,897 ±8,126","73,904 ±8,547","5,007","7.27%","$9.99","75% ($2.49)","73% (86%)"
"681","ArcaniA: Fall of Setarrif","142,805 ±11,697","147,809 ±12,086","5,004","3.5%","$14.99","80% ($2.99)","27% (N/A)"
"847","Brothers in Arms: Road to Hill 30","85,182 ±9,035","90,184 ±9,442","5,002","5.87%","$9.99","50% ($4.99)","N/A (87%)"
